Date,MSFT,YHOO,GOOG,MY
1/25/08,0.0026,0.031,-0.0014,0.0052
1/28/08,-0.0251,-0.0758,-0.0368,-0.0296
1/29/08,-0.0117,-0.007,-0.0177,-0.0113
1/30/08,-0.0104,-0.0792,-0.0018,-0.0162
1/31/08,-0.0053,-0.0151,0.0115,-0.0061
2/1/08,-0.0796,0.4635,-0.0993,-0.0368
2/4/08,-0.0015,0.0461,-0.032,0.0041
2/5/08,-0.0105,0.028,0.0506,-0.0061
2/6/08,-0.0145,-0.0051,-0.005,-0.0134
2/7/08,-0.0237,0.0058,-0.003,-0.0199
2/8/08,0.017,0.0102,0.0251,0.016
2/11/08,-0.0201,0.0148,0.0011,-0.0155
2/12/08,-0.0045,-0.0199,-0.0148,-0.0065
2/13/08,0.007,-0.0074,0.0171,0.0053
2/14/08,-0.0062,0.0197,0.006,-0.003
2/15/08,-0.006,-0.0124,-0.0078,-0.0069
2/19/08,-0.0105,-0.0214,-0.0403,-0.012
2/20/08,-0.0083,-0.0174,-0.0098,-0.0094
2/21/08,0.005,0.0015,-0.0022,0.0043
2/22/08,-0.0246,-0.0106,0.0004,-0.0228
2/25/08,-0.0093,-0.0284,-0.057,-0.0116
2/26/08,0.0106,-0.0062,-0.0543,0.0085
2/27/08,-0.0059,0.0058,0.0174,-0.0044
2/28/08,-0.006,0.0029,0.0116,-0.005
2/29/08,-0.004,0.0206,0.0143,-0.0012
3/3/08,-0.0107,-0.0017,-0.0327,-0.0096
3/4/08,0.0229,0.0142,-0.0261,0.0217
3/5/08,0.012,0.0145,0,0.0123
3/6/08,-0.002,0.0283,-0.0151,0.0016
3/7/08,0.0161,0.0215,0.0072,0.0166
3/10/08,0.018,0.0011,-0.0332,0.0156
3/11/08,0.0076,-0.0305,0.0267,0.0031
3/12/08,-0.0165,-0.0082,0.007,-0.0156
3/13/08,-0.0075,-0.0405,-0.0004,-0.0116
3/14/08,-0.0066,-0.003,0.0058,-0.0064
3/17/08,0.0178,-0.0215,-0.035,0.0129
3/18/08,-0.0015,0.0156,0.0043,0.0008
3/19/08,-0.0076,0.0088,0.0042,-0.0058
3/20/08,-0.0047,-0.0092,-0.0208,-0.005
3/24/08,-0.0168,-0.0251,0.0459,-0.0177
3/25/08,-0.0056,0.0404,-0.0255,-0.0001
3/26/08,-0.0144,0.0021,0.0225,-0.0125
3/27/08,-0.0099,-0.0001,-0.0222,-0.0088
3/28/08,-0.0002,0.0415,-0.0082,0.0049
3/31/08,0.0092,-0.0099,-0.0019,0.0067
4/1/08,0.0043,-0.061,0.0218,-0.0037
4/2/08,-0.0122,-0.022,-0.0003,-0.0135
4/3/08,-0.0091,0.0089,-0.026,-0.007
4/4/08,0.0023,0.0065,0.0322,0.0028
4/7/08,-0.0039,-0.0259,0.0086,-0.0066
4/8/08,-0.0119,0.0058,-0.0163,-0.0098
4/9/08,0.0097,0.0121,-0.0023,0.0099
4/10/08,0.0011,0.0232,0.0043,0.0038
4/11/08,-0.0125,0.0165,-0.0079,-0.0091
4/14/08,-0.0072,-0.0154,-0.0116,-0.0083
4/15/08,0.0001,0.0068,-0.0171,0.001
4/16/08,0.0017,-0.0244,-0.0049,-0.0014
4/17/08,0.0063,-0.0113,-0.0147,0.0041
4/18/08,0.0077,-0.0094,0.1809,0.0058
4/21/08,0.0129,0.0056,-0.0037,0.012
4/22/08,-0.0001,0.0102,0.0381,0.0011
4/23/08,0.0346,-0.0204,-0.0201,0.0279
4/24/08,0.0028,-0.0366,-0.0144,-0.0017
4/25/08,-0.0703,-0.0272,-0.0063,-0.0655
4/28/08,-0.0297,-0.0131,0.0137,-0.0278
4/29/08,-0.011,0.0395,0.013,-0.0052
4/30/08,-0.0032,0.0061,0.0298,-0.0021
5/1/08,0.0128,-0.0443,0.0147,0.0059
5/2/08,-0.0109,0.0646,-0.025,-0.002
5/5/08,-0.0038,-0.1449,0.0255,-0.0215
5/6/08,0.0119,0.0451,-0.0236,0.0155
5/7/08,-0.0025,0.0192,0.0022,-0.0002
5/8/08,-0.0038,0.0173,0.0014,-0.0014
5/9/08,0.0077,-0.0032,-0.0127,0.0064
5/12/08,0.0079,-0.0405,0.0081,0.0025
5/13/08,-0.0091,0.0513,-0.0051,-0.0025
5/14/08,-0.0011,0.0161,-0.0173,0.0009
5/15/08,0.0053,0.0084,-0.0038,0.0057
5/16/08,-0.0187,-0.0055,-0.0049,-0.0172
5/19/08,-0.021,-0.0011,-0.0073,-0.0186
5/20/08,-0.0178,0.0039,0.0084,-0.0153
5/21/08,-0.0056,0.0143,-0.0366,-0.0034
5/22/08,0.0029,0.0034,-0.0055,0.003
5/23/08,-0.0052,0.023,0.0014,-0.0019
5/27/08,0.0052,-0.0353,0.0214,0.0002
